 playerid  |  namefirst   |   namelast   |  schoolid  
-----------+--------------+--------------+------------
 yountro01 | Robin        | Yount        | 
 youngro01 | Ross         | Youngs       | 
 youngcy01 | Cy           | Young        | 
 yawketo99 | Tom          | Yawkey       | 
 yastrca01 | Carl         | Yastrzemski  | 
 wynnea01  | Early        | Wynn         | 
 wrighha01 | Harry        | Wright       | 
 wrighge01 | George       | Wright       | 
 winfida01 | Dave         | Winfield     | minnesota
 winfida01 | Dave         | Winfield     | minnesota
 winfida01 | Dave         | Winfield     | minnesota
 wilsoju99 | Jud          | Wilson       | 
 wilsoha01 | Hack         | Wilson       | 
 willivi01 | Vic          | Willis       | delaware
 willite01 | Ted          | Williams     | 
 willijo99 | Smokey Joe   | Williams     | 
 willidi02 | Dick         | Williams     | capasad
 willibi01 | Billy        | Williams     | 
 wilkijl99 | J. L.        | Wilkinson    | 
 wilheho01 | Hoyt         | Wilhelm      | 
 whiteso99 | Sol          | White        | 
 whitede01 | Deacon       | White        | 
 wheatza01 | Zack         | Wheat        | 
 wellswi99 | Willie       | Wells        | 
 welchmi01 | Mickey       | Welch        | 
 weissge99 | George       | Weiss        | 
 weaveea99 | Earl         | Weaver       | 
 wardjo01  | John         | Ward         | pennst
 wanerpa01 | Paul         | Waner        | ecentralok
 wanerll01 | Lloyd        | Waner        | 
 walshed01 | Ed           | Walsh        | 
 wallabo01 | Bobby        | Wallace      | 
 wagneho01 | Honus        | Wagner       | 
 wadderu01 | Rube         | Waddell      | pavolan
 veeckbi99 | Bill         | Veeck        | 
 vaughar01 | Arky         | Vaughan      | 
 vanceda01 | Dazzy        | Vance        | 
 traynpi01 | Pie          | Traynor      | 
 trammal01 | Alan         | Trammell     | 
 torricr99 | Cristobal    | Torriente    | 
 torrejo01 | Joe          | Torre        | 
 tinkejo01 | Joe          | Tinker       | 
 thompsa01 | Sam          | Thompson     | 
 thomeji01 | Jim          | Thome        | ilcenjc
 thomafr04 | Frank        | Thomas       | auburn
 thomafr04 | Frank        | Thomas       | auburn
 thomafr04 | Frank        | Thomas       | auburn
 terrybi01 | Bill         | Terry        | 
 taylobe99 | Ben          | Taylor       | 
 suttodo01 | Don          | Sutton       | flgccco
 suttlmu99 | Mule         | Suttles      | 
 suttebr01 | Bruce        | Sutter       | 
 stengca01 | Casey        | Stengel      | 
 steartu99 | Turkey       | Stearnes     | 
 stargwi01 | Willie       | Stargell     | 
 speaktr01 | Tris         | Speaker      | txwesleyan
 spaldal01 | Al           | Spalding     | 
 spahnwa01 | Warren       | Spahn        | 
 southbi01 | Billy        | Southworth   | 
 snidedu01 | Duke         | Snider       | 
 smoltjo01 | John         | Smoltz       | 
 smithoz01 | Ozzie        | Smith        | calpoly
 smithoz01 | Ozzie        | Smith        | calpoly
 smithoz01 | Ozzie        | Smith        | calpoly
 smithoz01 | Ozzie        | Smith        | calpoly
 smithhi99 | Hilton       | Smith        | 
 slaugen01 | Enos         | Slaughter    | 
 sislege01 | George       | Sisler       | michigan
 sislege01 | George       | Sisler       | michigan
 sislege01 | George       | Sisler       | michigan
 simmoal01 | Al           | Simmons      | 
 seweljo01 | Joe          | Sewell       | alabama
 seweljo01 | Joe          | Sewell       | alabama
 seweljo01 | Joe          | Sewell       | alabama
 seweljo01 | Joe          | Sewell       | alabama
 seligbu99 | Bud          | Selig        | 
 seleefr99 | Frank        | Selee        | 
 seaveto01 | Tom          | Seaver       | cafrecc
 seaveto01 | Tom          | Seaver       | usc
 schurjo99 | John         | Schuerholz   | 
 schoere01 | Red          | Schoendienst | 
 schmimi01 | Mike         | Schmidt      | ohio
 schmimi01 | Mike         | Schmidt      | ohio
 schmimi01 | Mike         | Schmidt      | ohio
 schalra01 | Ray          | Schalk       | 
 santoro01 | Ron          | Santo        | 
 santolo99 | Louis        | Santop       | 
 sandbry01 | Ryne         | Sandberg     | 
 ryanno01  | Nolan        | Ryan         | 
 ruthba01  | Babe         | Ruth         | 
 rusieam01 | Amos         | Rusie        | 
 ruperja99 | Jacob        | Ruppert      | 
 ruffire01 | Red          | Ruffing      | 
 roushed01 | Edd          | Roush        | 
 roganbu99 | Bullet       | Rogan        | 
 rodriiv01 | Ivan         | Rodriguez    | 
 robinwi01 | Wilbert      | Robinson     | 
 robinja02 | Jackie       | Robinson     | ucla
 robinfr02 | Frank        | Robinson     | 
 robinbr01 | Brooks       | Robinson     | 
 roberro01 | Robin        | Roberts      | michiganst
 roberro01 | Robin        | Roberts      | michiganst
 rizzuph01 | Phil         | Rizzuto      | 
 rixeyep01 | Eppa         | Rixey        | virginia
 rixeyep01 | Eppa         | Rixey        | virginia
 ripkeca01 | Cal          | Ripken       | 
 rickebr01 | Branch       | Rickey       | ohwesleyan
 ricesa01  | Sam          | Rice         | 
 riceji01  | Jim          | Rice         | 
 reesepe01 | Pee Wee      | Reese        | 
 raineti01 | Tim          | Raines       | 
 radboch01 | Old Hoss     | Radbourn     | 
 puckeki01 | Kirby        | Puckett      | bradley
 puckeki01 | Kirby        | Puckett      | iltrito
 poseycu99 | Cum          | Posey        | duquesne
 pompeal99 | Alex         | Pompez       | 
 planked01 | Eddie        | Plank        | gettysburg
 planked01 | Eddie        | Plank        | gettysburg
 piazzmi01 | Mike         | Piazza       | flmdnjc
 piazzmi01 | Mike         | Piazza       | miamifl
 perryga01 | Gaylord      | Perry        | 
 perezto01 | Tony         | Perez        | 
 pennohe01 | Herb         | Pennock      | 
 palmeji01 | Jim          | Palmer       | 
 paigesa01 | Satchel      | Paige        | 
 ottme01   | Mel          | Ott          | 
 orourji01 | Jim          | O'Rourke     | 
 omallwa99 | Walter       | O'Malley     | 
 odayha01  | Hank         | O'Day        | 
 niekrph01 | Phil         | Niekro       | 
 nichoki01 | Kid          | Nichols      | 
 newhoha01 | Hal          | Newhouser    | 
 musiast01 | Stan         | Musial       | 
 murraed02 | Eddie        | Murray       | 
 morrija02 | Jack         | Morris       | byu
 morrija02 | Jack         | Morris       | byu
 morgajo02 | Joe          | Morgan       | camerri
 molitpa01 | Paul         | Molitor      | minnesota
 molitpa01 | Paul         | Molitor      | minnesota
 molitpa01 | Paul         | Molitor      | minnesota
 mizejo01  | Johnny       | Mize         | 
 mendejo99 | Jose         | Mendez       | 
 medwijo01 | Joe          | Medwick      | 
 mcphebi01 | Bid          | McPhee       | 
 mckecbi01 | Bill         | McKechnie    | 
 mcgrajo01 | John         | McGraw       | stbonny
 mcgrajo01 | John         | McGraw       | stbonny
 mcgrajo01 | John         | McGraw       | stbonny
 mcgrajo01 | John         | McGraw       | stbonny
 mcgowbi99 | Bill         | McGowan      | 
 mcginjo01 | Joe          | McGinnity    | 
 mccovwi01 | Willie       | McCovey      | 
 mccarto01 | Tommy        | McCarthy     | 
 mccarjo99 | Joe          | McCarthy     | niagara
 mccarjo99 | Joe          | McCarthy     | niagara
 mccarjo99 | Joe          | McCarthy     | niagara
 mazerbi01 | Bill         | Mazeroski    | 
 mayswi01  | Willie       | Mays         | 
 matheed01 | Eddie        | Mathews      | 
 mathech01 | Christy      | Mathewson    | bucknell
 martipe02 | Pedro        | Martinez     | 
 marquru01 | Rube         | Marquard     | 
 maricju01 | Juan         | Marichal     | 
 maranra01 | Rabbit       | Maranville   | 
 manushe01 | Heinie       | Manush       | 
 mantlmi01 | Mickey       | Mantle       | 
 manleef99 | Effa         | Manley       | 
 maddugr01 | Greg         | Maddux       | 
 macphle99 | Lee          | MacPhail     | 
 macphla99 | Larry        | MacPhail     | 
 mackebi99 | Biz          | Mackey       | 
 mackco01  | Connie       | Mack         | 
 lyonste01 | Ted          | Lyons        | baylor
 lyonste01 | Ted          | Lyons        | baylor
 lyonste01 | Ted          | Lyons        | baylor
 lyonste01 | Ted          | Lyons        | baylor
 lopezal01 | Al           | Lopez        | 
 lombaer01 | Ernie        | Lombardi     | 
 lloydpo99 | Pop          | Lloyd        | 
 lindsfr01 | Freddie      | Lindstrom    | 
 leonabu99 | Buck         | Leonard      | 
 lemonbo01 | Bob          | Lemon        | 
 lazzeto01 | Tony         | Lazzeri      | 
 lasorto01 | Tom          | Lasorda      | 
 larusto01 | Tony         | LaRussa      | 
 larkiba01 | Barry        | Larkin       | michigan
 larkiba01 | Barry        | Larkin       | michigan
 larkiba01 | Barry        | Larkin       | michigan
 landike99 | Kenesaw      | Landis       | 
 lajoina01 | Nap          | Lajoie       | 
 kuhnbo99  | Bowie        | Kuhn         | 
