 birthyear |    avgheight     | count 
-----------+------------------+-------
      1820 |                  |     1
      1824 |                  |     1
      1832 |                  |     3
      1835 |               69 |     1
      1836 |               63 |     1
      1837 |                  |     1
      1838 |               69 |     3
      1839 |               72 |     1
      1840 |             68.5 |     7
      1841 | 68.3333333333333 |     3
      1842 |             68.4 |     6
      1843 |             67.5 |     8
      1844 | 68.8333333333333 |    17
      1845 | 69.1538461538462 |    18
      1846 |             67.5 |    13
      1847 | 69.0555555555556 |    27
      1848 |               68 |    23
      1849 |             68.6 |    30
      1850 |  68.962962962963 |    44
      1851 | 68.6190476190476 |    33
      1852 | 69.2142857142857 |    42
      1853 | 69.2352941176471 |    41
      1854 | 69.5151515151515 |    53
      1855 | 69.0952380952381 |    64
      1856 |            68.86 |    75
      1857 | 69.2692307692308 |    65
      1858 | 69.3287671232877 |    91
      1859 | 69.5147058823529 |    87
      1860 | 69.6981132075472 |    89
      1861 | 69.7377049180328 |    87
      1862 |        69.640625 |    91
      1863 | 69.7439024390244 |   103
      1864 |          69.4875 |    96
      1865 |           69.425 |   103
      1866 | 69.7666666666667 |    98
      1867 | 69.6538461538462 |   100
      1868 | 70.1142857142857 |    90
      1869 |            69.75 |   105
      1870 | 69.8955223880597 |    80
      1871 | 70.2830188679245 |    64
      1872 | 70.1694915254237 |    71
      1873 |          70.2625 |    86
      1874 | 70.1627906976744 |   100
      1875 | 69.8690476190476 |   103
      1876 | 70.0515463917526 |   111
      1877 |             70.6 |    88
      1878 | 70.3529411764706 |    92
      1879 | 70.4210526315789 |   101
      1880 | 70.6868686868687 |   102
      1881 | 70.2935779816514 |   116
      1882 |               70 |    98
      1883 |            70.78 |   106
      1884 | 70.5538461538462 |   136
      1885 | 70.8823529411765 |   126
      1886 | 71.1397058823529 |   139
      1887 | 70.4965986394558 |   147
      1888 | 70.7151898734177 |   159
      1889 |  70.820987654321 |   164
      1890 | 70.9937106918239 |   163
      1891 | 70.7218934911243 |   170
      1892 |  70.728476821192 |   151
      1893 | 70.8452380952381 |   171
      1894 | 70.8711656441718 |   167
      1895 | 70.8394160583942 |   137
      1896 | 70.7669172932331 |   135
      1897 | 70.6950354609929 |   142
      1898 | 70.9734513274336 |   115
      1899 |             70.7 |   142
      1900 | 71.2222222222222 |   127
      1901 | 70.8157894736842 |   114
      1902 |  70.787037037037 |   108
      1903 | 71.4579439252336 |   109
      1904 | 70.8543689320388 |   103
      1905 | 71.4761904761905 |   106
      1906 | 71.2561983471074 |   121
      1907 | 71.4181818181818 |   110
      1908 | 71.5445544554455 |   101
      1909 | 71.7045454545455 |    88
      1910 | 71.5272727272727 |   110
      1911 | 71.6326530612245 |    98
      1912 | 71.6347826086957 |   115
      1913 | 71.6724137931034 |   116
      1914 | 71.8333333333333 |   109
      1915 | 71.9933333333333 |   150
      1916 | 71.9291338582677 |   127
      1917 | 72.2774193548387 |   156
      1918 | 71.9420289855072 |   138
      1919 | 72.0634920634921 |   126
      1920 | 71.9439252336449 |   107
      1921 | 72.3214285714286 |   112
      1922 | 72.2222222222222 |   108
      1923 | 72.0246913580247 |    81
      1924 | 72.3302752293578 |   109
      1925 | 71.6451612903226 |    93
      1926 | 72.5428571428571 |   106
      1927 | 71.8627450980392 |   102
      1928 | 72.2201834862385 |   109
      1929 | 72.2765957446808 |    95
      1930 | 72.4310344827586 |   116
      1931 | 72.4910714285714 |   112
      1932 |            72.75 |    72
      1933 | 73.0333333333333 |    90
      1934 | 72.4943820224719 |    90
      1935 |            72.78 |   100
      1936 | 72.6990291262136 |   103
      1937 | 73.0280373831776 |   107
      1938 | 72.7452830188679 |   107
      1939 | 72.7282608695652 |    92
      1940 |            72.75 |   101
      1941 | 72.8376068376068 |   117
      1942 |           72.944 |   125
      1943 | 72.8787878787879 |   132
      1944 | 72.7826086956522 |   138
      1945 | 73.1228070175439 |   115
      1946 | 73.1167883211679 |   137
      1947 | 72.8013245033113 |   151
      1948 | 72.9558823529412 |   137
      1949 |  73.237037037037 |   135
      1950 | 72.8947368421053 |   133
      1951 | 72.8978102189781 |   138
      1952 | 72.9591836734694 |   147
      1953 | 73.2327044025157 |   160
      1954 | 73.3269230769231 |   156
      1955 | 73.4149659863946 |   147
      1956 | 73.1566265060241 |   166
      1957 | 72.9662162162162 |   148
      1958 |             73.5 |   152
      1959 |  73.351724137931 |   145
      1960 | 73.3191489361702 |   189
      1961 | 73.0687022900763 |   131
      1962 | 73.3776223776224 |   143
      1963 |  73.361581920904 |   177
      1964 | 73.3703703703704 |   189
      1965 |  73.252808988764 |   178
      1966 | 73.4242424242424 |   165
      1967 | 73.3563829787234 |   188
      1968 | 73.5464480874317 |   183
      1969 |             73.4 |   205
      1970 | 73.8888888888889 |   180
      1971 | 73.4761904761905 |   210
      1972 |           73.385 |   200
      1973 | 73.3715846994535 |   183
      1974 | 73.6774193548387 |   186
      1975 | 73.4741784037559 |   213
      1976 | 73.4108910891089 |   202
      1977 | 73.7756097560976 |   205
      1978 | 73.6255924170616 |   211
      1979 | 73.5458937198068 |   207
      1980 | 73.6304347826087 |   184
      1981 | 74.0974358974359 |   195
      1982 | 73.7720930232558 |   215
      1983 | 73.4775510204082 |   245
      1984 | 73.8766519823789 |   227
      1985 | 73.5915492957746 |   213
      1986 | 73.9478672985782 |   211
      1987 | 73.5433070866142 |   254
      1988 | 74.0140186915888 |   214
      1989 | 73.6387665198238 |   227
      1990 | 73.8185840707965 |   226
      1991 | 73.6581632653061 |   196
      1992 | 73.7792207792208 |   154
      1993 | 73.9090909090909 |   110
      1994 | 73.5909090909091 |    66
      1995 | 73.5769230769231 |    26
      1996 |               72 |     8
      1997 |             70.5 |     2
           | 69.4166666666667 |   126
(167 rows)

