  namefirst   |   namelast   | playerid  | yearid 
--------------+--------------+-----------+--------
 Chipper      | Jones        | jonesch06 |   2018
 Trevor       | Hoffman      | hoffmtr01 |   2018
 Vladimir     | Guerrero     | guerrvl01 |   2018
 Jack         | Morris       | morrija02 |   2018
 Alan         | Trammell     | trammal01 |   2018
 Jim          | Thome        | thomeji01 |   2018
 Tim          | Raines       | raineti01 |   2017
 John         | Schuerholz   | schurjo99 |   2017
 Bud          | Selig        | seligbu99 |   2017
 Ivan         | Rodriguez    | rodriiv01 |   2017
 Jeff         | Bagwell      | bagweje01 |   2017
 Mike         | Piazza       | piazzmi01 |   2016
 Ken          | Griffey      | griffke02 |   2016
 Pedro        | Martinez     | martipe02 |   2015
 Craig        | Biggio       | biggicr01 |   2015
 John         | Smoltz       | smoltjo01 |   2015
 Randy        | Johnson      | johnsra05 |   2015
 Tony         | LaRussa      | larusto01 |   2014
 Frank        | Thomas       | thomafr04 |   2014
 Tom          | Glavine      | glavito02 |   2014
 Greg         | Maddux       | maddugr01 |   2014
 Joe          | Torre        | torrejo01 |   2014
 Bobby        | Cox          | coxbo01   |   2014
 Hank         | O'Day        | odayha01  |   2013
 Deacon       | White        | whitede01 |   2013
 Jacob        | Ruppert      | ruperja99 |   2013
 Ron          | Santo        | santoro01 |   2012
 Barry        | Larkin       | larkiba01 |   2012
 Bert         | Blyleven     | blylebe01 |   2011
 Pat          | Gillick      | gillipa99 |   2011
 Roberto      | Alomar       | alomaro01 |   2011
 Whitey       | Herzog       | herzowh01 |   2010
 Doug         | Harvey       | harvedo99 |   2010
 Andre        | Dawson       | dawsoan01 |   2010
 Jim          | Rice         | riceji01  |   2009
 Joe          | Gordon       | gordojo01 |   2009
 Rickey       | Henderson    | henderi01 |   2009
 Billy        | Southworth   | southbi01 |   2008
 Dick         | Williams     | willidi02 |   2008
 Walter       | O'Malley     | omallwa99 |   2008
 Bowie        | Kuhn         | kuhnbo99  |   2008
 Barney       | Dreyfuss     | dreyfba99 |   2008
 Rich         | Gossage      | gossari01 |   2008
 Cal          | Ripken       | ripkeca01 |   2007
 Tony         | Gwynn        | gwynnto01 |   2007
 J. L.        | Wilkinson    | wilkijl99 |   2006
 Sol          | White        | whiteso99 |   2006
 Cristobal    | Torriente    | torricr99 |   2006
 Ben          | Taylor       | taylobe99 |   2006
 Mule         | Suttles      | suttlmu99 |   2006
 Louis        | Santop       | santolo99 |   2006
 Cum          | Posey        | poseycu99 |   2006
 Alex         | Pompez       | pompeal99 |   2006
 Jose         | Mendez       | mendejo99 |   2006
 Effa         | Manley       | manleef99 |   2006
 Biz          | Mackey       | mackebi99 |   2006
 Pete         | Hill         | hillpe99  |   2006
 Frank        | Grant        | grantfr99 |   2006
 Andy         | Cooper       | coopean99 |   2006
 Willard      | Brown        | brownwi02 |   2006
 Bruce        | Sutter       | suttebr01 |   2006
 Ray          | Brown        | brownra99 |   2006
 Jud          | Wilson       | wilsoju99 |   2006
 Ryne         | Sandberg     | sandbry01 |   2005
 Wade         | Boggs        | boggswa01 |   2005
 Dennis       | Eckersley    | eckerde01 |   2004
 Paul         | Molitor      | molitpa01 |   2004
 Eddie        | Murray       | murraed02 |   2003
 Gary         | Carter       | cartega01 |   2003
 Ozzie        | Smith        | smithoz01 |   2002
 Kirby        | Puckett      | puckeki01 |   2001
 Hilton       | Smith        | smithhi99 |   2001
 Bill         | Mazeroski    | mazerbi01 |   2001
 Dave         | Winfield     | winfida01 |   2001
 Sparky       | Anderson     | andersp01 |   2000
 Carlton      | Fisk         | fiskca01  |   2000
