 yearid |  min   |   max    |       avg        |      stddev      
--------+--------+----------+------------------+------------------
   1985 |  60000 |  2130300 | 476299.447272727 |  343320.88949793
   1986 |  60000 |  2800000 | 417147.043360434 | 394017.573716994
   1987 |  62500 |  2127333 | 434729.465709729 | 431182.170170104
   1988 |  62500 |  2340000 | 453171.076923077 | 453158.099159259
   1989 |  62500 |  2766667 | 506323.081575246 | 538045.431737658
   1990 | 100000 |  3200000 | 511973.694348328 | 552440.505599511
   1991 | 100000 |  3800000 | 894961.194160584 | 939849.367501545
   1992 | 109000 |  6100000 | 1047520.57607282 | 1180646.36775197
   1993 |      0 |  6200000 | 976966.559046587 | 1284733.55618175
   1994 |  50000 |  6300000 | 1049588.55995475 | 1352683.09956535
   1995 | 109000 |  9237500 | 964979.074036511 |  1530384.1066142
   1996 | 109000 |  9237500 | 1027909.29108485 | 1546646.47653614
   1997 |  50000 | 10000000 | 1218687.44324324 | 1723091.34453153
   1998 | 170000 | 14936667 | 1280844.56012024 |   1823264.167767
   1999 |      0 | 11949794 | 1485316.84890656 | 2054551.90613115
   2000 | 200000 | 15714286 | 1992984.57177033 | 2517295.15793221
   2001 | 200000 | 22000000 | 2279841.06162791 | 2907710.25052122
   2002 | 200000 | 22000000 | 2392526.62174941 | 3070387.15549686
   2003 | 165574 | 22000000 | 2573472.94800484 | 3481943.46981058
   2004 | 300000 | 22500000 | 2491776.10469314 | 3545170.32767116
   2005 | 300000 | 26000000 | 2633830.80385078 | 3631631.19039679
   2006 | 327000 | 21680727 |  2834520.8998779 | 3778385.06442721
   2007 | 380000 | 23428571 | 2941435.85154394 | 3810572.03076438
   2008 | 390000 | 28000000 | 3136517.13785047 | 4193269.19410541
   2009 | 400000 | 33000000 | 3277646.97908979 | 4371687.88772869
   2010 | 400000 | 33000000 |  3278746.8253012 | 4461190.06853082
   2011 | 414000 | 32000000 | 3318838.24910608 | 4541140.48857932
   2012 | 480000 | 30000000 | 3458421.21698113 | 4710311.06603956
   2013 | 480000 | 29000000 | 3723344.35337423 | 4963772.67937498
   2014 | 500000 | 26000000 | 3980445.91396509 | 5155339.48504989
   2015 | 507000 | 32571000 | 4301276.09424725 | 5506177.99259841
   2016 | 507500 | 33000000 | 4396409.60375147 | 5900036.04980959
(32 rows)

