 yearid | mindiff | maxdiff  |      avgdiff      
--------+---------+----------+-------------------
   1986 |       0 |   669700 | -59152.4039122937
   1987 |    2500 |  -672667 |  17582.4223492953
   1988 |       0 |   212667 |   18441.611213348
   1989 |       0 |   426667 |  53152.0046521692
   1990 |   37500 |   433333 |  5650.61277308146
   1991 |       0 |   600000 |  382987.499812256
   1992 |    9000 |  2300000 |  152559.381912238
   1993 | -109000 |   100000 | -70554.0170262347
   1994 |   50000 |   100000 |  72622.0009081638
   1995 |   59000 |  2937500 | -84609.4859182399
   1996 |       0 |        0 |  62930.2170483439
   1997 |  -59000 |   762500 |  190778.152158388
   1998 |  120000 |  4936667 |  62157.1168769973
   1999 | -170000 | -2986873 |   204472.28878632
   2000 |  200000 |  3764492 |  507667.722863774
   2001 |       0 |  6285714 |  286856.489857572
   2002 |       0 |        0 |  112685.560121502
   2003 |  -34426 |        0 |  180946.326255428
   2004 |  134426 |   500000 | -81696.8433116958
   2005 |       0 |  3500000 |  142054.699157641
   2006 |   27000 | -4319273 |  200690.096027118
   2007 |   53000 |  1747844 |  106914.951666043
   2008 |   10000 |  4571429 |  195081.286306524
   2009 |   10000 |  5000000 |  141129.841239324
   2010 |       0 |        0 |  1099.84621141385
   2011 |   14000 | -1000000 |  40091.4238048741
   2012 |   66000 | -2000000 |  139582.967875053
   2013 |       0 | -1000000 |  264923.136393101
   2014 |   20000 | -3000000 |  257101.560590854
   2015 |    7000 |  6571000 |  320830.180282159
   2016 |     500 |   429000 |  95133.5095042195
(31 rows)

