 team | diffavg  
------+----------
 ARI  |        0
 ATL  |        0
 BAL  | 14550000
 BOS  | 15485500
 CHA  |  3750000
 CHN  | 24473000
 CIN  | 12031666
 CLE  |  4163800
 COL  | 12428571
 DET  |        0
 HOU  |  3162000
 KCA  |  6250000
 LAA  |        0
 LAN  | 32490000
 MIA  |  2830000
 MIL  |        0
 MIN  |        0
 NYA  | 14492500
 NYN  | 26792671
 OAK  |        0
 PHI  |        0
 PIT  |  6316667
 SDN  |   826100
 SEA  |        0
 SFN  | 14577778
 SLN  |        0
 TBA  |        0
 TEX  | 14500000
 TOR  | 11132200
 WAS  | 17142857
(30 rows)

